StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q6_4_TEXT,Q7,Q8,Q9,Q10,Q11,Q11_10_TEXT,Q12,Q12_6_TEXT,Q13,Q13_4_TEXT,Q14,Q15,Q15_4_TEXT,Q16,Q17,Q17_5_TEXT,Q18,Q19,Q20,Q21,Q22
2024-06-25 01:33:26,2024-06-25 01:36:06,IP Address,100,159,True,2024-06-25 01:36:06,R_2L2lPHe593Df5tv,anonymous,EN-GB,Female,<20,100 Level,"YUMSUKMSA ","NW, Nigeria",Hausa,,No,,Conference invitation letters,,,,,,Comfortable,,"₦41,000 - ₦60,000",,,No,,,"Less than ₦10,000",No,Limits access to valuable educational opportunities,"Reducing the cost to make it affordable ",No
2024-06-25 02:10:46,2024-06-25 02:14:14,IP Address,100,207,True,2024-06-25 02:14:15,R_8IdgJqzCHbAGYud,anonymous,EN-GB,Male,23-26,400 Level,"Usmanu Danfodio University Medical Students Association ","NW, Nigeria",Hausa,,Yes,Occasionally (2-3 times a year),Personal contact/ colleagues,"SS, Nigeria,NE, Nigeria",Learning opportunity,,Professional development,,Just enough to meet basic needs,,"₦41,000 - ₦60,000",Personal savings,,Yes,Accommodation expenses,,"₦21,000 - ₦40,000",No,Limits access to valuable educational opportunities,"Grants by NGOs to help Medical students to meet their demands ",
2024-06-25 02:06:46,2024-06-25 02:16:38,IP Address,100,591,True,2024-06-25 02:16:39,R_8ZWTk1YrqleOM4T,anonymous,EN-GB,Female,20-22,400 Level,"Ahmadu Bello University ","NC, Nigeria",Yoruba,,No,,"Journals / Newsletters,Personal contact/ colleagues","NC, Nigeria",,,"Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"Less than ₦20,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Lack of funding/support from institution or external sources",,Not sure,No,"Limits access to valuable educational opportunities,Increases financial strain on students","Scientific conferences can apply for grants and financial support that can aid in subsidizing the financial burdens of conference for medical students by networking with various medical companies to aid the financial constraints ",
2024-06-25 02:17:09,2024-06-25 02:23:53,IP Address,100,404,True,2024-06-25 02:23:54,R_2BtBdxv8nj02RGS,anonymous,EN-GB,Female,27-30,600 Level,"University of Ilorin, Ilorin, Kwara state. ","NC, Nigeria",Yoruba,,Yes,Rarely (Once a year),Flyers,"SW, Nigeria","Learning opportunity,To build resume,To maintain skill base",,"Networking opportunities,Professional development",,Struggling to meet basic needs.,,"Less than ₦20,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation)",,"Less than ₦10,000",No,Limits access to valuable educational opportunities,Finances,
2024-06-25 02:26:28,2024-06-25 02:31:18,IP Address,100,290,True,2024-06-25 02:31:19,R_8xPOqEUKyCttHKT,anonymous,EN-GB,Male,23-26,100 Level,Usman Dan Fodio university Sokoto state,"NW, Nigeria",Yoruba,,No,Rarely (Once a year),"Websites of associations,Flyers","NW, Nigeria","To view current research trends and keep up-to-date,To build resume,Networking",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Struggling to meet basic needs.,,"Less than ₦20,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"Less than ₦10,000",No,"Contributes to disparities in academic and professional advancement,Increases financial strain on students",Institutions should support the students.,No
2024-06-25 02:42:26,2024-06-25 02:44:36,IP Address,100,130,True,2024-06-25 02:44:37,R_8mIOElFlpOSjhhT,anonymous,EN-GB,Female,20-22,400 Level,UDUS,"NW, Nigeria",Hausa,,No,,Flyers,,,,,,Comfortable,,"More than ₦100,000",,,No,,,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement","Make accommodation free, registration fee lowerm ",No
2024-06-25 02:43:08,2024-06-25 02:45:45,IP Address,100,157,True,2024-06-25 02:45:46,R_8fwO9Ls8hIrNzz3,anonymous,EN-GB,Female,20-22,400 Level,"Ahmadu Bello University ","NW, Nigeria",Igbo,,No,,,,,,,,Struggling to meet basic needs.,,"₦20,000 - ₦40,000",,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students",Make them free,No
2024-06-25 02:40:19,2024-06-25 02:46:44,IP Address,100,384,True,2024-06-25 02:46:45,R_8OvshOCCRPwLXj3,anonymous,EN-GB,Male,23-26,400 Level,"Usmanu danfodio University sokoto ","SE, Nigeria",Others,Eloyi,No,,,,,,,,Struggling to meet basic needs.,,"₦20,000 - ₦40,000",,,Yes,"Transportation expenses (transportation, accommodation)",,"Less than ₦10,000",No,Limits access to valuable educational opportunities,Scholarships for medical students,
2024-06-25 02:40:26,2024-06-25 02:51:24,IP Address,100,658,True,2024-06-25 02:51:25,R_2cFESXvbTYilJM5,anonymous,EN-GB,Male,23-26,600 Level,"University of Benin ","SS, Nigeria",Others,Edo,Yes,Rarely (Once a year),Personal contact/ colleagues,"SS, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To maintain skill base,Networking",,"Relevance to my field of study,Professional development",,Comfortable,,"₦41,000 - ₦60,000",Institutional support,,No,,,,,"Limits access to valuable educational opportunities,Increases financial strain on students",Subsidizing the cost,
2024-06-25 02:52:25,2024-06-25 02:56:08,IP Address,100,222,True,2024-06-25 02:56:09,R_2CCS1T6RdtUVGQj,anonymous,EN-GB,Female,20-22,600 Level,University of Benin,"SS, Nigeria",Others,,No,,,,,,,,Other (please specify),,"₦41,000 - ₦60,000",,,,,,,,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","Provision of NGO's to be funded by working doctors ",No
2024-06-25 03:00:07,2024-06-25 03:04:17,IP Address,100,250,True,2024-06-25 03:04:18,R_2RwSStYkxEa5Fax,anonymous,EN-GB,Male,20-22,100 Level,"Usmanu Danfodio University Sokoto ","NW, Nigeria",Hausa,,No,,"Websites of associations,Personal contact/ colleagues","SE, Nigeria,SS, Nigeria,SW, Nigeria,NC, Nigeria,NE, Nigeria,NW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,To maintain skill base,To deliver papers,Tourism,Networking,Association related activities,Job opportunities,Others (Please specify)",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support,Others (please specify)",,Just enough to meet basic needs,,"Less than ₦20,000",Grants,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses",,Not sure,Yes,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students",By lowering the registration and transportation fees,"Nothing "
2024-06-25 02:59:56,2024-06-25 03:09:16,IP Address,100,559,True,2024-06-25 03:09:16,R_7FOmdsNJoWRJglx,anonymous,EN-GB,Male,27-30,500 Level,"College of Health Sciences, Usmanu Danfodiyo University Sokoto. ","NW, Nigeria",Others,Igala,Yes,Rarely (Once a year),Personal contact/ colleagues,"NW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,Networking,Association related activities",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"₦20,000 - ₦40,000",Personal savings,,Yes,"High registration fees,Lack of funding/support from institution or external sources",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","The scientific community must recognize the need for students to be a part of their conferences and outrightly subsidize registration fees for students and young doctors. ","Funds should be made available to schools specifically for non curricular research opportunities and conferences for students. Beyond the release of these funds, they should be made readily and easily accessible by the target population. "
2024-06-25 03:20:05,2024-06-25 03:30:27,IP Address,100,621,True,2024-06-25 03:30:28,R_8ux3I69C7GPsrjA,anonymous,EN-GB,Male,<20,100 Level,"Usmanu Dandodiyo University Teaching Hospital ","NW, Nigeria",Others,"Dakarkari ",No,,Flyers,"NW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,To maintain skill base,To deliver papers,Association related activities",,"Relevance to my field of study,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Struggling to meet basic needs.,,"Less than ₦20,000",Personal savings,,Yes,Lack of funding/support from institution or external sources,,"Less than ₦10,000",Yes,Increases financial strain on students,"Adequate provision of scholarship ",
2024-06-25 03:32:23,2024-06-25 03:36:39,IP Address,100,256,True,2024-06-25 03:36:39,R_8frMryPFhuzLScu,anonymous,EN-GB,Male,23-26,500 Level,"Usmanu Danfodiyo University Sokoto ","NW, Nigeria",Igbo,,No,,,,,,,,Struggling to meet basic needs.,,"Less than ₦20,000",,,Yes,Lack of funding/support from institution or external sources,,"₦21,000 - ₦40,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","Reduction of Registration fees, incorporation of Scientific conferences into med school curriculum ",Nope
2024-06-25 03:34:00,2024-06-25 03:40:21,IP Address,100,380,True,2024-06-25 03:40:22,R_2g6HbN5cgAkcGgq,anonymous,EN-GB,Male,>30,500 Level,Usman Danfodio University Sokoto,"NW, Nigeria",Hausa,,No,,Personal contact/ colleagues,,,,"Relevance to my field of study,Financial considerations (registration fees, travel costs, etc.)",,Struggling to meet basic needs.,,"₦20,000 - ₦40,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"₦21,000 - ₦40,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students",It should be sponsored by whoever,"Those that have means should be attending, it's encouraging"
2024-06-25 03:42:20,2024-06-25 03:47:20,IP Address,100,300,True,2024-06-25 03:47:21,R_8320jZo9eyPImBj,anonymous,EN-GB,Male,23-26,300 Level,"University of Ilorin ","NC, Nigeria",Yoruba,,No,,,,,,,,Struggling to meet basic needs.,,"₦20,000 - ₦40,000",,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"₦10,000 - ₦20,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","Sponsorship from institution ",Medical edu
2024-06-25 05:51:23,2024-06-25 05:55:54,IP Address,100,271,True,2024-06-25 05:55:55,R_83duUuKFNCiPy8P,anonymous,EN-GB,Male,>30,400 Level,"Usmanu Danfodiyo University Sokoto ","NW, Nigeria",Yoruba,,Yes,Rarely (Once a year),Personal contact/ colleagues,"SW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To maintain skill base,Association related activities",,"Relevance to my field of study,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"₦41,000 - ₦60,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Lack of funding/support from institution or external sources",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement","Discount for medical students coming from far distance ",Reduction in registeration fees
2024-06-25 06:33:30,2024-06-25 06:40:29,IP Address,100,419,True,2024-06-25 06:40:30,R_8jZkzmYETD6OYJ8,anonymous,EN-GB,Male,23-26,400 Level,Federal university Dutse jigawa State,"NW, Nigeria",Hausa,,Yes,Rarely (Once a year),Personal contact/ colleagues,"NW, Nigeria",Learning opportunity,,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"Less than ₦20,000",Institutional support,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"More than ₦40,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","Decrease the fee, give free accomdation, institutional support and Grant",Actually is all related to finance with little issues with the institution in allowing and encouraging their students
2024-06-25 07:56:15,2024-06-25 08:08:17,IP Address,100,721,True,2024-06-25 08:08:18,R_8U4zzGuoxK1sUgT,anonymous,EN-GB,Female,20-22,400 Level,"Ahmadu Bello University Zaria ","NW, Nigeria",Others,Fulani,No,,,,,,,,Comfortable,,"₦81,000 - ₦100,000",,,No,,,,No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students",Fundng those interested in attending scientific conferences,No
2024-06-25 09:14:21,2024-06-25 09:16:46,IP Address,100,144,True,2024-06-25 09:16:47,R_8fqr4lgmadLLyRq,anonymous,EN-GB,Male,23-26,400 Level,UDUTH,"NC, Nigeria",Others,Idoma,No,,,,,,,,Struggling to meet basic needs.,,"₦20,000 - ₦40,000",,,,,,"₦21,000 - ₦40,000",,"Limits access to valuable educational opportunities,Increases financial strain on students",,
2024-06-25 11:16:24,2024-06-25 11:20:23,IP Address,100,238,True,2024-06-25 11:20:24,R_2mma2E0EPkVRTg5,anonymous,EN-GB,Female,23-26,600 Level,"Ladoke Akintola university of technology, Ogbomoso ","SW, Nigeria",Yoruba,,Yes,Occasionally (2-3 times a year),"Websites of associations,Conference invitation letters,Flyers,E-mails / subscriptions","SW, Nigeria,NC, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,To maintain skill base,Networking",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.)",,Just enough to meet basic needs,,"₦20,000 - ₦40,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"Less than ₦10,000",Yes,"Limits access to valuable educational opportunities,Increases financial strain on students","Getting sponsors for the conferences to lessen the burden on students ",No
2024-06-25 11:40:43,2024-06-25 11:44:43,IP Address,100,239,True,2024-06-25 11:44:44,R_2Gv4cTx2wpjOTWF,anonymous,EN-GB,Male,27-30,500 Level,"University of Nigeria College of Medicine Enugu state ","SE, Nigeria",Igbo,,No,,,,"To view current research trends and keep up-to-date,Learning opportunity,To build resume,Networking,Job opportunities",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Struggling to meet basic needs.,,"Less than ₦20,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources,Other (please specify)",Flight,"Less than ₦10,000",No,"Contributes to disparities in academic and professional advancement,Increases financial strain on students",Medical students could present free and given a discount,Nil
2024-06-25 11:46:15,2024-06-25 11:49:42,IP Address,100,207,True,2024-06-25 11:49:43,R_8y0YEtfTME4SRBn,anonymous,EN-GB,Female,<20,300 Level,"Afe babalola university ","SW, Nigeria",Yoruba,,No,Rarely (Once a year),Conference invitation letters,"SW, Nigeria",Learning opportunity,,Relevance to my field of study,,Comfortable,,"₦41,000 - ₦60,000",Others (Please specify),"Family members ",No,,,"₦21,000 - ₦40,000",No,Limits access to valuable educational opportunities,"Make it more affordable ",
